,title,author,cover_url
0,FAIRY TALE,Stephen King,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg
1,DESPERATION IN DEATH,J.D. Ro,https://storage.googleapis.com/du-prd/books/images/9781250278234.jpg
2,CARRIE SOTO IS BACK,Taylor Jenkins Reid,https://storage.googleapis.com/du-prd/books/images/9780593158685.jpg
3,ALL GOOD PEOPLE HERE,Ashley Flowers with Alex Kiester,https://storage.googleapis.com/du-prd/books/images/9780593496473.jpg
4,THE MARRIAGE PORTRAIT,Maggie O'Farrell,https://storage.googleapis.com/du-prd/books/images/9780593320624.jpg
5,THE 6:20 MAN,David Baldacci,https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
6,CLIVE CUSSLER'S HELLBURNER,Mike Maden,https://storage.googleapis.com/du-prd/books/images/9780593540640.jpg
7,HELL AND BACK,Craig Johnson,https://storage.googleapis.com/du-prd/books/images/9780593297285.jpg
8,KILLERS OF A CERTAIN AGE,Deanna Raybourn,https://storage.googleapis.com/du-prd/books/images/9780593200681.jpg
9,THE INK BLACK HEART,Robert Galbraith,https://storage.googleapis.com/du-prd/books/images/9780316413039.jpg
10,THE LAST THING HE TOLD ME,Laura Dave,https://storage.googleapis.com/du-prd/books/images/9781501171345.jpg
11,OTHER BIRDS,Sarah Addison Allen,https://storage.googleapis.com/du-prd/books/images/9781250019868.jpg
12,LESSONS IN CHEMISTRY,Bonnie Garmus,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg
13,THE MIDNIGHT LIBRARY,Matt Haig,https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg
14,THE RISING TIDE,Ann Cleeves,https://storage.googleapis.com/du-prd/books/images/9781250204530.jpg
